IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
8.218.136.25	8080	8080	FALSE	HKG	Asia Pacific	Hong Kong	40	2.12
47.76.49.246	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	92	2.11
47.74.52.104	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	73	2.1
8.218.156.91	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	75	2.1
47.243.107.148	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	39	2.09
47.242.17.250	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	43	2.09
47.242.59.216	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	37	2.09
47.243.42.219	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	75	2.07
47.245.55.235	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	204	2.07
47.243.86.79	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	39	2.06
47.245.58.175	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	76	2.05
47.242.171.94	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	104	2.05
8.219.196.117	2086	2086	FALSE	SIN	Asia Pacific	Singapore	34	2.05
47.74.15.80	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	146	2.04
8.210.192.93	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	70	2.04
8.209.200.73	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	79	2.03
47.243.42.219	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	45	2.03
47.76.77.103	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	44	2.02
8.219.170.232	2095	2095	FALSE	SIN	Asia Pacific	Singapore	22	2.02
47.236.7.206	2083	2083	TRUE	SIN	Asia Pacific	Singapore	79	2.01
8.217.167.88	80	80	FALSE	HKG	Asia Pacific	Hong Kong	39	2.01
8.218.18.132	8080	8080	FALSE	HKG	Asia Pacific	Hong Kong	40	2
8.210.9.129	2082	2082	FALSE	HKG	Asia Pacific	Hong Kong	38	2
47.242.17.250	80	80	FALSE	HKG	Asia Pacific	Hong Kong	54	1.99
8.217.164.10	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	47	1.99
8.219.247.203	2096	2096	TRUE	SIN	Asia Pacific	Singapore	124	1.99
8.222.219.34	8443	8443	TRUE	SIN	Asia Pacific	Singapore	45	1.98
8.210.21.65	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	41	1.98
47.74.41.87	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	82	1.97
8.219.198.139	8880	8880	FALSE	SIN	Asia Pacific	Singapore	42	1.97
8.210.245.224	2082	2082	FALSE	HKG	Asia Pacific	Hong Kong	70	1.97
8.218.11.90	443	443	TRUE	HKG	Asia Pacific	Hong Kong	88	1.97
8.209.252.13	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	81	1.97
