IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.204.12.240	443	443	TRUE	FRA	Europe	Frankfurt	173	10.41
35.234.68.60	443	443	TRUE	FRA	Europe	Frankfurt	191	10.4
34.141.236.235	443	443	TRUE	FRA	Europe	Frankfurt	183	10.39
34.118.55.40	443	443	TRUE	FRA	Europe	Frankfurt	189	10.39
34.91.91.210	443	443	TRUE	FRA	Europe	Frankfurt	180	10.39
34.65.19.230	443	443	TRUE	FRA	Europe	Frankfurt	176	10.39
34.65.167.176	443	443	TRUE	FRA	Europe	Frankfurt	172	10.38
34.90.66.225	443	443	TRUE	FRA	Europe	Frankfurt	178	10.37
34.65.133.188	443	443	TRUE	FRA	Europe	Frankfurt	176	10.37
34.91.91.210	443	443	TRUE	FRA	Europe	Frankfurt	198	10.37
34.34.51.194	443	443	TRUE	FRA	Europe	Frankfurt	174	10.37
34.141.51.251	443	443	TRUE	FRA	Europe	Frankfurt	173	10.36
34.159.30.150	443	443	TRUE	FRA	Europe	Frankfurt	177	10.36
34.154.143.132	443	443	TRUE	FRA	Europe	Frankfurt	177	10.34
34.90.185.80	443	443	TRUE	FRA	Europe	Frankfurt	161	10.33
34.154.57.166	443	443	TRUE	FRA	Europe	Frankfurt	178	10.33
34.32.232.90	443	443	TRUE	FRA	Europe	Frankfurt	179	10.33
34.118.112.163	443	443	TRUE	FRA	Europe	Frankfurt	178	10.33
34.154.173.38	443	443	TRUE	FRA	Europe	Frankfurt	168	10.33
34.91.141.104	443	443	TRUE	FRA	Europe	Frankfurt	182	10.32
35.242.239.61	443	443	TRUE	FRA	Europe	Frankfurt	182	10.31
34.88.63.160	443	443	TRUE	FRA	Europe	Frankfurt	191	10.28
34.65.198.87	443	443	TRUE	EWR	North America	Newark	174	10.28
34.91.67.64	443	443	TRUE	FRA	Europe	Frankfurt	180	10.27
34.65.59.26	443	443	TRUE	FRA	Europe	Frankfurt	171	10.25
34.90.88.12	443	443	TRUE	FRA	Europe	Frankfurt	161	10.23
34.91.83.51	443	443	TRUE	FRA	Europe	Frankfurt	172	10.22
34.34.24.107	443	443	TRUE	FRA	Europe	Frankfurt	175	10.21
34.118.42.177	443	443	TRUE	FRA	Europe	Frankfurt	187	10.21
34.65.78.7	443	443	TRUE	FRA	Europe	Frankfurt	174	10.2
34.65.154.40	443	443	TRUE	FRA	Europe	Frankfurt	174	10.19
34.118.67.168	443	443	TRUE	FRA	Europe	Frankfurt	188	10.19
34.91.250.0	443	443	TRUE	FRA	Europe	Frankfurt	233	10.18
35.204.214.60	443	443	TRUE	FRA	Europe	Frankfurt	176	10.17
34.141.10.79	443	443	TRUE	FRA	Europe	Frankfurt	166	10.16
35.197.23.75	443	443	TRUE	SEA	North America	Seattle	157	10.15
34.154.3.87	443	443	TRUE	FRA	Europe	Frankfurt	179	10.15
34.65.181.153	443	443	TRUE	FRA	Europe	Frankfurt	163	10.14
34.65.174.156	443	443	TRUE	FRA	Europe	Frankfurt	173	10.14
34.116.171.235	443	443	TRUE	FRA	Europe	Frankfurt	173	10.13
34.91.83.51	443	443	TRUE	FRA	Europe	Frankfurt	184	10.11
34.116.132.141	443	443	TRUE	FRA	Europe	Frankfurt	180	10.11
34.116.248.189	443	443	TRUE	FRA	Europe	Frankfurt	200	10.1
34.65.5.18	443	443	TRUE	FRA	Europe	Frankfurt	173	10.07
34.91.146.141	443	443	TRUE	FRA	Europe	Frankfurt	190	10.07
34.91.231.89	443	443	TRUE	FRA	Europe	Frankfurt	175	10.07
34.154.107.139	443	443	TRUE	FRA	Europe	Frankfurt	187	10.06
35.204.203.40	443	443	TRUE	FRA	Europe	Frankfurt	176	10.05
34.65.190.252	443	443	TRUE	AMS	Europe	Amsterdam	175	10.05
34.154.176.30	443	443	TRUE	FRA	Europe	Frankfurt	178	10.04
34.32.255.76	443	443	TRUE	FRA	Europe	Frankfurt	187	10.04
34.32.255.76	443	443	TRUE	FRA	Europe	Frankfurt	178	10.04
34.118.91.146	443	443	TRUE	FRA	Europe	Frankfurt	194	10.03
34.65.244.35	443	443	TRUE	FRA	Europe	Frankfurt	178	10.03
34.116.181.51	443	443	TRUE	FRA	Europe	Frankfurt	186	10.03
34.65.118.112	443	443	TRUE	FRA	Europe	Frankfurt	179	10.02
34.32.178.41	443	443	TRUE	FRA	Europe	Frankfurt	164	10.01
34.65.253.40	443	443	TRUE	FRA	Europe	Frankfurt	172	9.99
35.204.20.220	443	443	TRUE	FRA	Europe	Frankfurt	174	9.98
34.32.220.33	443	443	TRUE	FRA	Europe	Frankfurt	185	9.98
34.65.19.230	443	443	TRUE	FRA	Europe	Frankfurt	174	9.97
34.116.158.147	443	443	TRUE	FRA	Europe	Frankfurt	185	9.97
34.91.110.151	443	443	TRUE	FRA	Europe	Frankfurt	196	9.97
34.91.81.192	443	443	TRUE	FRA	Europe	Frankfurt	186	9.96
34.65.163.152	443	443	TRUE	FRA	Europe	Frankfurt	175	9.96
34.107.0.78	443	443	TRUE	FRA	Europe	Frankfurt	240	9.96
34.32.212.53	443	443	TRUE	FRA	Europe	Frankfurt	182	9.94
34.154.167.40	443	443	TRUE	FRA	Europe	Frankfurt	176	9.94
34.65.150.119	443	443	TRUE	FRA	Europe	Frankfurt	173	9.94
35.204.133.67	443	443	TRUE	FRA	Europe	Frankfurt	175	9.94
34.118.76.103	443	443	TRUE	FRA	Europe	Frankfurt	188	9.94
34.118.91.9	443	443	TRUE	FRA	Europe	Frankfurt	187	9.93
35.204.88.54	443	443	TRUE	FRA	Europe	Frankfurt	180	9.89
